ID,Name,Sex,Age,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI,discretized_Year
837,Rachael Alexis Adams,0,0.275,92,8,1.0,0,3,47,372,0,0.2528380347546806,2
840,"Victoria ""Vicki"" Adams",0,0.2250000000000001,30,7,0.875,1,5,12,133,0,0.3262724359570358,2
846,Valerie Kasanita Adams-Vili (-Price),0,0.20000000000000007,64,4,0.5,0,1,2,57,2,0.502327902410478,1
846,Valerie Kasanita Adams-Vili (-Price),0,0.30000000000000004,64,6,0.75,0,2,2,57,2,0.502327902410478,2
846,Valerie Kasanita Adams-Vili (-Price),0,0.4,64,8,1.0,0,3,2,57,1,0.502327902410478,2
849,Filip Kamil Adamski,1,0.3500000000000001,32,6,0.75,0,2,30,238,2,0.2914182238634465,2
896,Olubayo Adefemi,1,0.17500000000000004,61,4,0.5,0,1,18,185,1,0.30951250073271463,1
908,"Ayodele ""Dele"" Adeleye",1,0.10000000000000003,61,4,0.5,0,1,18,185,1,0.23252724880592623,1
925,Adenzia Aparecida Ferreira da Silva,0,0.25,10,6,0.75,0,2,47,372,2,0.13666054080038575,2
956,"Richard ""Richy""  Adjei",1,0.30000000000000004,32,5,0.625,1,8,8,81,1,0.4555126759873641,1
980,"Rebecca ""Becky"" Adlington",0,0.10000000000000003,30,4,0.5,0,1,40,344,2,0.22411104113643743,1
980,"Rebecca ""Becky"" Adlington",0,0.10000000000000003,30,4,0.5,0,1,40,347,2,0.22411104113643743,1
980,"Rebecca ""Becky"" Adlington",0,0.20000000000000007,30,6,0.75,0,2,40,344,0,0.22411104113643743,2
980,"Rebecca ""Becky"" Adlington",0,0.20000000000000007,30,6,0.75,0,2,40,347,0,0.22411104113643743,2
1000,Dainius Adomaitis,1,0.275,53,0,0.0,0,6,5,64,0,0.2954962407904369,0
1017,Nathan Ghar-Jun Adrian,1,0.10000000000000003,92,4,0.5,0,1,40,326,2,0.32233418784896894,1
1017,Nathan Ghar-Jun Adrian,1,0.20000000000000007,92,6,0.75,0,2,40,320,2,0.32233418784896894,2
1017,Nathan Ghar-Jun Adrian,1,0.20000000000000007,92,6,0.75,0,2,40,326,1,0.32233418784896894,2
1017,Nathan Ghar-Jun Adrian,1,0.20000000000000007,92,6,0.75,0,2,40,327,2,0.32233418784896894,2
1017,Nathan Ghar-Jun Adrian,1,0.30000000000000004,92,8,1.0,0,3,40,331,0,0.32233418784896894,2
1017,Nathan Ghar-Jun Adrian,1,0.30000000000000004,92,8,1.0,0,3,40,320,0,0.32233418784896894,2
1017,Nathan Ghar-Jun Adrian,1,0.30000000000000004,92,8,1.0,0,3,40,326,2,0.32233418784896894,2
1017,Nathan Ghar-Jun Adrian,1,0.30000000000000004,92,8,1.0,0,3,40,327,2,0.32233418784896894,2
1020,Adriana Aparecida dos Santos,0,0.3500000000000001,10,0,0.0,0,6,5,65,0,0.14308072817007977,0
1023,"Adriana ""Adrianinha"" Moiss Pinto",0,0.15000000000000002,10,0,0.0,0,6,5,65,0,0.2414003713408277,0
1071,Kseniya Dmitriyevna Afanasyeva,0,0.125,74,6,0.75,0,2,21,208,1,0.15382791094260595,2
1085,Maksim Sergeyevich Afinogenov,1,0.17500000000000004,74,1,0.125,1,4,24,213,0,0.34298679014751887,0
1095,Cecil Sebastian Afrika,1,0.32500000000000007,73,8,1.0,0,3,31,252,0,0.2950238447234448,2
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",1,0.30000000000000004,73,8,1.0,0,3,31,252,0,0.3870707744875821,2
1114,Luca Agamennoni,1,0.2250000000000001,42,2,0.25,0,0,30,239,0,0.35151147524231763,0
1114,Luca Agamennoni,1,0.30000000000000004,42,4,0.5,0,1,30,244,1,0.35151147524231763,1
1131,Clarisse Agbegnenou,0,0.20000000000000007,29,8,1.0,0,3,25,224,1,0.29634317539319777,2
1169,Marilyn Agliotti,0,0.3500000000000001,60,4,0.5,0,1,23,212,2,0.16395732048165412,1
1169,Marilyn Agliotti,0,0.45000000000000007,60,6,0.75,0,2,23,212,2,0.16395732048165412,2
1173,Yannick Agnel,1,0.125,29,6,0.75,0,2,40,324,2,0.22973656101026918,2
1173,Yannick Agnel,1,0.125,29,6,0.75,0,2,40,326,2,0.22973656101026918,2
1173,Yannick Agnel,1,0.125,29,6,0.75,0,2,40,328,1,0.22973656101026918,2
1181,Meghan Christina Agosta (-Marciano),0,0.07500000000000001,12,3,0.375,1,7,24,214,2,0.2748689874943139,1
1181,Meghan Christina Agosta (-Marciano),0,0.20000000000000007,12,5,0.625,1,8,24,214,2,0.2748689874943139,1
1181,Meghan Christina Agosta (-Marciano),0,0.275,12,7,0.875,1,5,24,214,2,0.2748689874943139,2
1188,"Benjamin Alexandro ""Ben"" Agosto",1,0.2250000000000001,92,3,0.375,1,7,17,181,1,0.2730602434913707,1
1220,Sergio Leonel Agero del Castillo,1,0.125,1,4,0.5,0,1,18,185,2,0.3090767349624528,1
1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",0,0.20000000000000007,19,0,0.0,0,6,47,372,2,0.2512155512744657,0
1254,Macarena Aguilar Daz,0,0.30000000000000004,24,6,0.75,0,2,22,210,0,0.25996963067473744,2
1262,Sandra Aguilar Navarro,0,0.20000000000000007,24,8,1.0,0,3,29,236,1,0.11895971294285668,2
1301,Sri Wahyuni Agustiani,0,0.15000000000000002,36,8,1.0,0,3,49,384,1,0.22151332963899006,2
1313,Robyn Mokihana Ah Mow-Santos,0,0.42500000000000004,92,4,0.5,0,1,47,372,1,0.24558699112710336,1
1340,Annica Gunilla hln,0,0.30000000000000004,81,1,0.125,1,4,24,214,0,0.28025747558235437,0
1356,Christian Ahlmann,1,0.3500000000000001,32,2,0.25,0,0,15,166,0,0.23883625298847166,0
1356,Christian Ahlmann,1,0.6500000000000001,32,8,1.0,0,3,15,166,0,0.23883625298847166,2
1374,Tontowi Ahmad,1,0.3500000000000001,36,8,1.0,0,3,3,61,2,0.2408599439406569,2
1379,Jrg Ahmann,1,0.4750000000000001,32,0,0.0,0,6,6,66,0,0.29199002938764296,0
1435,Janne Petteri Ahonen,1,0.2250000000000001,28,1,0.125,1,4,36,295,1,0.1609825782306593,0
1435,Janne Petteri Ahonen,1,0.32500000000000007,28,3,0.375,1,7,36,295,1,0.1609825782306593,1
1444,"Christian ""Chris"" Ahrens",1,0.32500000000000007,92,2,0.25,0,0,30,238,2,0.3223860266935501,0
1466,Matteo Aicardi,1,0.275,42,6,0.75,0,2,48,373,1,0.38033735890264975,2
1466,Matteo Aicardi,1,0.375,42,8,1.0,0,3,48,373,0,0.38033735890264975,2
1467,Mara Magdalena Aicega Amicarelli,0,0.275,1,0,0.0,0,6,23,212,1,0.22925106254798033,0
1467,Mara Magdalena Aicega Amicarelli,0,0.375,1,2,0.25,0,0,23,212,0,0.22925106254798033,0
1467,Mara Magdalena Aicega Amicarelli,0,0.4750000000000001,1,4,0.5,0,1,23,212,0,0.22925106254798033,1
1478,Rosaria Aiello,0,0.30000000000000004,42,8,1.0,0,3,48,374,1,0.3090767349624528,2
1481,Hannes Aigner,1,0.20000000000000007,32,6,0.75,0,2,10,110,0,0.23882615931724738,2
1487,Ryoji Aikawa,1,0.32500000000000007,45,2,0.25,0,0,4,63,0,0.3189497214943793,0
1498,"Charles Benedict ""Ben"" Ainslie",1,0.20000000000000007,30,0,0.0,0,6,32,261,2,0.35901150258294523,0
1498,"Charles Benedict ""Ben"" Ainslie",1,0.30000000000000004,30,2,0.25,0,0,32,254,2,0.35901150258294523,0
1498,"Charles Benedict ""Ben"" Ainslie",1,0.4,30,4,0.5,0,1,32,261,2,0.35901150258294523,1
1498,"Charles Benedict ""Ben"" Ainslie",1,0.5,30,6,0.75,0,2,32,255,2,0.35901150258294523,2
1500,Kurt Harold Ainsworth,1,0.17500000000000004,92,0,0.0,0,6,4,63,2,0.2824522463145538,0
